"StudentId","CourseField","YearLevel","GradePercent"
1,"Math",1,57
1,"Physics",1,72
1,"Physics",2,58
1,"Biology",4,77
1,"Math",2,96
1,"Chemistry",4,67
1,"Chemistry",2,56
1,"Physics",2,72
1,"Chemistry",2,98
1,"Chemistry",4,76
2,"Physics",1,47
2,"Math",4,89
2,"Biology",3,57
2,"Chemistry",1,58
2,"Chemistry",1,51
2,"Chemistry",4,92
2,"Math",1,69
2,"Biology",2,78
2,"Physics",4,62
2,"Chemistry",2,71
3,"Chemistry",4,84
3,"Biology",2,82
3,"Chemistry",1,82
3,"Physics",2,77
3,"Math",3,64
3,"Chemistry",2,68
3,"Physics",4,91
3,"Physics",4,58
3,"Math",2,90
3,"Biology",2,82
4,"Physics",3,56
4,"Physics",4,79
4,"Chemistry",4,52
4,"Math",1,87
4,"Chemistry",3,92
4,"Biology",3,84
4,"Biology",1,73
4,"Biology",2,65
4,"Biology",4,63
4,"Physics",4,99
5,"Physics",4,74
5,"Chemistry",3,82
5,"Physics",3,87
5,"Math",3,52
5,"Math",2,69
5,"Physics",1,89
5,"Chemistry",1,76
5,"Chemistry",2,90
5,"Math",3,93
5,"Chemistry",1,85
6,"Math",1,50
6,"Physics",4,58
6,"Physics",1,52
6,"Biology",2,97
6,"Biology",1,62
6,"Math",4,47
6,"Biology",3,69
6,"Biology",1,80
6,"Biology",3,52
6,"Physics",1,46
7,"Biology",3,61
7,"Chemistry",3,74
7,"Physics",1,46
7,"Math",2,65
7,"Physics",3,91
7,"Chemistry",4,53
7,"Chemistry",3,54
7,"Biology",3,55
7,"Chemistry",3,48
7,"Chemistry",1,67
8,"Physics",4,54
8,"Chemistry",3,62
8,"Chemistry",4,86
8,"Biology",4,93
8,"Physics",3,98
8,"Physics",4,85
8,"Math",3,47
8,"Math",2,46
8,"Chemistry",3,71
8,"Physics",4,67
9,"Physics",1,87
9,"Chemistry",1,66
9,"Math",1,88
9,"Chemistry",1,74
9,"Chemistry",4,86
9,"Chemistry",3,88
9,"Biology",1,78
9,"Math",1,53
9,"Physics",4,90
9,"Chemistry",4,60
10,"Biology",1,89
10,"Math",1,96
10,"Chemistry",3,46
10,"Physics",4,58
10,"Biology",3,60
10,"Math",1,78
10,"Biology",3,61
10,"Physics",1,97
10,"Math",2,94
10,"Biology",3,74
11,"Chemistry",1,96
11,"Math",1,84
11,"Math",1,82
11,"Physics",4,52
11,"Biology",1,99
11,"Biology",4,80
11,"Chemistry",1,79
11,"Chemistry",2,89
11,"Chemistry",4,49
11,"Chemistry",2,86
12,"Biology",4,86
12,"Chemistry",1,84
12,"Biology",4,73
12,"Math",1,55
12,"Chemistry",4,81
12,"Math",1,90
12,"Biology",1,50
12,"Chemistry",1,96
12,"Math",3,89
12,"Chemistry",2,77
13,"Chemistry",1,77
13,"Physics",2,58
13,"Chemistry",4,81
13,"Math",1,93
13,"Chemistry",2,100
13,"Biology",4,55
13,"Chemistry",1,51
13,"Biology",1,95
13,"Physics",2,94
13,"Biology",3,87
14,"Math",3,85
14,"Chemistry",3,87
14,"Physics",4,74
14,"Biology",3,73
14,"Biology",3,85
14,"Math",4,70
14,"Physics",3,50
14,"Math",3,92
14,"Chemistry",2,58
14,"Biology",1,81
15,"Physics",2,84
15,"Biology",4,98
15,"Math",2,82
15,"Math",4,49
15,"Physics",4,57
15,"Biology",1,61
15,"Physics",2,73
15,"Physics",2,79
15,"Biology",4,80
15,"Math",4,51
16,"Chemistry",4,48
16,"Math",2,72
16,"Math",3,67
16,"Biology",1,47
16,"Physics",4,83
16,"Physics",3,79
16,"Chemistry",2,82
16,"Biology",2,91
16,"Chemistry",3,52
16,"Biology",4,61
17,"Chemistry",2,64
17,"Biology",2,45
17,"Physics",2,91
17,"Biology",4,85
17,"Physics",3,79
17,"Chemistry",2,98
17,"Biology",2,64
17,"Chemistry",2,51
17,"Math",2,51
17,"Biology",3,77
18,"Chemistry",1,71
18,"Chemistry",1,72
18,"Physics",2,98
18,"Chemistry",3,84
18,"Physics",4,59
18,"Math",3,75
18,"Biology",4,47
18,"Physics",4,61
18,"Physics",1,69
18,"Biology",3,84
19,"Math",3,48
19,"Chemistry",4,84
19,"Math",1,48
19,"Biology",4,90
19,"Math",3,57
19,"Math",2,61
19,"Physics",3,52
19,"Chemistry",1,65
19,"Physics",3,98
19,"Chemistry",1,70
20,"Chemistry",4,46
20,"Physics",4,88
20,"Biology",3,62
20,"Math",4,60
20,"Math",1,57
20,"Chemistry",2,73
20,"Chemistry",4,65
20,"Biology",2,82
20,"Chemistry",3,98
20,"Biology",2,67
21,"Biology",3,71
21,"Chemistry",1,90
21,"Biology",2,56
21,"Physics",1,90
21,"Math",2,47
21,"Math",1,72
21,"Biology",4,90
21,"Physics",4,69
21,"Math",4,84
21,"Math",4,52
22,"Biology",4,98
22,"Math",4,48
22,"Chemistry",3,58
22,"Physics",2,87
22,"Math",4,98
22,"Chemistry",4,91
22,"Chemistry",4,68
22,"Math",3,86
22,"Physics",2,68
22,"Chemistry",2,53
23,"Math",3,58
23,"Math",2,88
23,"Physics",1,59
23,"Physics",4,51
23,"Biology",1,94
23,"Biology",2,56
23,"Chemistry",4,50
23,"Biology",4,97
23,"Chemistry",3,72
23,"Biology",4,96
24,"Math",2,69
24,"Biology",1,52
24,"Chemistry",3,95
24,"Chemistry",1,54
24,"Biology",1,65
24,"Physics",1,85
24,"Physics",1,76
24,"Math",4,88
24,"Math",2,95
24,"Math",4,46
25,"Biology",2,53
25,"Physics",3,48
25,"Chemistry",2,94
25,"Math",1,98
25,"Chemistry",3,60
25,"Biology",2,89
25,"Math",4,92
25,"Physics",3,70
25,"Chemistry",1,60
25,"Chemistry",2,78
26,"Biology",1,91
26,"Chemistry",3,78
26,"Biology",3,70
26,"Chemistry",1,52
26,"Physics",2,73
26,"Biology",1,58
26,"Biology",2,58
26,"Biology",3,71
26,"Physics",4,75
26,"Biology",3,59
27,"Math",3,61
27,"Math",3,96
27,"Math",2,67
27,"Chemistry",1,55
27,"Physics",2,95
27,"Math",3,86
27,"Chemistry",2,83
27,"Physics",2,60
27,"Chemistry",1,46
27,"Physics",1,85
28,"Biology",4,58
28,"Math",4,100
28,"Chemistry",1,56
28,"Math",4,61
28,"Biology",2,89
28,"Biology",4,55
28,"Biology",1,49
28,"Math",4,67
28,"Biology",3,53
28,"Math",1,94
29,"Physics",3,59
29,"Math",2,66
29,"Biology",3,59
29,"Chemistry",3,61
29,"Biology",1,90
29,"Physics",4,66
29,"Math",1,62
29,"Chemistry",3,48
29,"Physics",2,57
29,"Biology",2,72
30,"Math",3,49
30,"Physics",1,61
30,"Chemistry",4,90
30,"Chemistry",2,84
30,"Biology",3,46
30,"Math",4,60
30,"Math",4,56
30,"Chemistry",2,67
30,"Chemistry",2,51
30,"Biology",4,73
31,"Chemistry",1,63
31,"Biology",1,55
31,"Math",2,93
31,"Chemistry",1,99
31,"Math",1,48
31,"Chemistry",4,70
31,"Chemistry",4,99
31,"Physics",4,66
31,"Math",2,91
31,"Chemistry",1,73
32,"Math",3,57
32,"Math",1,91
32,"Physics",1,96
32,"Math",2,72
32,"Chemistry",4,58
32,"Biology",4,69
32,"Math",4,83
32,"Biology",2,87
32,"Math",2,65
32,"Chemistry",1,93
33,"Biology",4,79
33,"Math",2,62
33,"Physics",1,74
33,"Physics",4,75
33,"Physics",2,64
33,"Biology",1,86
33,"Math",2,81
33,"Biology",1,72
33,"Physics",3,100
33,"Physics",1,49
34,"Physics",1,56
34,"Chemistry",4,58
34,"Biology",2,48
34,"Biology",1,96
34,"Math",4,98
34,"Physics",3,66
34,"Math",4,97
34,"Physics",2,91
34,"Biology",2,65
34,"Physics",3,98
35,"Biology",4,84
35,"Biology",2,53
35,"Chemistry",1,51
35,"Chemistry",3,97
35,"Chemistry",4,53
35,"Physics",4,72
35,"Physics",3,90
35,"Chemistry",4,52
35,"Math",4,59
35,"Physics",1,97
36,"Physics",1,94
36,"Chemistry",1,59
36,"Chemistry",3,80
36,"Math",2,86
36,"Math",2,92
36,"Biology",4,62
36,"Physics",2,47
36,"Chemistry",1,91
36,"Math",3,90
36,"Physics",4,91
37,"Chemistry",4,66
37,"Biology",3,100
37,"Physics",3,68
37,"Math",3,73
37,"Physics",4,96
37,"Biology",2,91
37,"Physics",1,72
37,"Biology",3,70
37,"Biology",2,63
37,"Math",3,77
38,"Chemistry",2,74
38,"Physics",1,57
38,"Physics",2,98
38,"Biology",1,99
38,"Math",4,59
38,"Chemistry",1,49
38,"Chemistry",1,56
38,"Math",2,87
38,"Biology",1,60
38,"Chemistry",2,88
39,"Physics",2,76
39,"Math",1,97
39,"Physics",1,89
39,"Physics",3,71
39,"Biology",2,70
39,"Math",4,51
39,"Physics",3,57
39,"Physics",1,83
39,"Math",2,59
39,"Math",4,46
40,"Physics",1,57
40,"Chemistry",2,100
40,"Math",3,77
40,"Math",3,93
40,"Chemistry",1,65
